                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0876,                 2.0837,                 1.3037,                0.53939,                0.52758,                 0.5294,                0.37514,                0.96771,                 1.1514,                 1.2061,               0.070117,              0.0033204,              0.0033204
                      1,                0.93401,                 1.1789,                  1.174,                0.74181,                0.57951,                0.63669,                0.43926,                0.98616,                 1.0139,                  1.233,               0.040095,              0.0066317,              0.0066317
                      2,                0.98503,                 1.1566,                 1.2047,                0.49731,                0.49745,                0.51097,                 0.3268,                 1.0957,                 1.2913,                 1.3519,               0.010051,              0.0099211,              0.0099211
                      3,                 1.0405,                 1.2365,                 1.2567,                0.61594,                0.54557,                0.56707,                0.38023,                 1.0642,                 1.2063,                 1.3263,               0.009901,               0.009901,               0.009901
                      4,                 1.0181,                 1.1485,                 1.2368,                0.57651,                 0.5748,                0.56934,                0.38794,                 1.0837,                 1.2148,                  1.313,               0.009901,               0.009901,               0.009901
                      5,                0.99753,                 1.0953,                 1.2219,                0.61969,                 0.6098,                0.63683,                0.43396,                 1.0298,                0.99486,                 1.2459,               0.009868,               0.009868,               0.009868
                      6,                0.97796,                 1.0404,                 1.2153,                0.61101,                 0.6328,                0.62948,                0.43209,                  1.029,                0.93454,                 1.2474,               0.009835,               0.009835,               0.009835
                      7,                0.95059,                 1.0029,                 1.2025,                0.66665,                0.67624,                0.69129,                0.47382,                0.96107,                0.83757,                  1.219,               0.009802,               0.009802,               0.009802
                      8,                0.94029,                0.96403,                 1.1999,                0.70397,                0.63034,                0.67541,                0.47366,                0.93949,                0.84631,                 1.2224,               0.009769,               0.009769,               0.009769
                      9,                0.93308,                0.96942,                 1.1882,                0.71014,                0.68872,                0.71806,                 0.5179,                0.95947,                0.80125,                 1.1918,               0.009736,               0.009736,               0.009736
                     10,                 0.9159,                0.92252,                 1.1793,                0.69145,                0.71952,                 0.7179,                0.51123,                0.87536,                0.77843,                 1.1719,               0.009703,               0.009703,               0.009703
