                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2605,                 2.8588,                 1.4875,                0.48121,                0.55774,                0.51004,                0.35195,                 1.0789,                 1.6462,                 1.2762,               0.070122,              0.0033198,              0.0033198
                      1,                 1.1002,                 1.6875,                 1.3264,                0.56435,                0.50979,                0.58746,                0.39675,                 1.0828,                 1.5935,                 1.2976,                 0.0401,              0.0066312,              0.0066312
                      2,                 1.1676,                 1.6892,                 1.3846,                0.49824,                0.47399,                0.48561,                0.30459,                 1.2553,                  1.905,                 1.4347,               0.010056,              0.0099205,              0.0099205
                      3,                 1.2551,                 1.7589,                 1.4411,                0.57466,                0.47844,                0.55869,                0.35126,                 1.2892,                 1.8741,                 1.4221,               0.009901,               0.009901,               0.009901
                      4,                 1.2194,                 1.6542,                 1.4229,                 0.4586,                 0.5935,                0.53298,                0.34998,                 1.1948,                 1.5123,                 1.3889,               0.009901,               0.009901,               0.009901
                      5,                 1.2027,                 1.6025,                 1.4084,                0.48402,                0.61273,                0.57309,                0.38032,                 1.1733,                 1.5693,                 1.3942,               0.009868,               0.009868,               0.009868
                      6,                 1.1708,                 1.5235,                 1.3834,                0.60055,                0.57231,                0.65066,                0.42967,                 1.1107,                 1.3816,                 1.2907,               0.009835,               0.009835,               0.009835
                      7,                 1.1428,                  1.445,                 1.3665,                0.63952,                0.55308,                0.64751,                0.44157,                 1.0953,                 1.4084,                 1.2991,               0.009802,               0.009802,               0.009802
                      8,                 1.1317,                 1.4092,                 1.3531,                0.58882,                0.64023,                0.66328,                0.46132,                 1.0884,                 1.3338,                   1.28,               0.009769,               0.009769,               0.009769
                      9,                 1.1027,                 1.3736,                 1.3397,                 0.6364,                0.63209,                0.67689,                0.46855,                 1.0477,                 1.2844,                 1.2664,               0.009736,               0.009736,               0.009736
                     10,                 1.0778,                 1.3184,                 1.3165,                0.54572,                0.69404,                0.68047,                0.47678,                 1.0203,                 1.2218,                 1.2435,               0.009703,               0.009703,               0.009703
                     11,                 1.0723,                 1.2912,                 1.3108,                0.69847,                0.60257,                0.69873,                0.49033,                 1.0281,                 1.1964,                 1.2443,                0.00967,                0.00967,                0.00967
                     12,                 1.0454,                 1.2476,                 1.2942,                0.64834,                0.71568,                0.70201,                0.49253,                  1.001,                 1.1661,                 1.2451,               0.009637,               0.009637,               0.009637
                     13,                 1.0405,                 1.2173,                 1.2963,                0.62541,                0.70863,                0.71394,                0.50076,                 1.0129,                 1.1677,                 1.2422,               0.009604,               0.009604,               0.009604
                     14,                 1.0229,                 1.1983,                 1.2787,                0.67667,                0.66103,                0.72798,                 0.5119,                0.99673,                 1.3065,                 1.2202,               0.009571,               0.009571,               0.009571
                     15,                 1.0217,                 1.1735,                 1.2813,                0.66667,                 0.6422,                0.72805,                0.51052,                0.98235,                 1.3058,                  1.228,               0.009538,               0.009538,               0.009538
                     16,                 1.0042,                 1.1365,                 1.2709,                0.62388,                 0.7486,                0.74591,                0.52786,                0.98035,                 1.0905,                 1.2025,               0.009505,               0.009505,               0.009505
                     17,                0.98566,                  1.133,                 1.2496,                 0.6333,                0.75159,                 0.7304,                0.52427,                0.98239,                 1.1155,                 1.1959,               0.009472,               0.009472,               0.009472
                     18,                0.97992,                 1.0909,                 1.2502,                 0.6733,                0.71848,                0.73517,                0.53269,                0.96376,                 1.1363,                 1.1959,               0.009439,               0.009439,               0.009439
                     19,                0.97111,                 1.0744,                 1.2518,                0.63904,                0.77962,                0.76164,                0.54821,                0.95687,                 1.0836,                 1.1861,               0.009406,               0.009406,               0.009406
                     20,                0.95262,                 1.0654,                 1.2308,                0.70048,                0.66243,                0.75276,                0.54125,                0.99046,                 1.1189,                 1.1882,               0.009373,               0.009373,               0.009373
                     21,                0.96368,                 1.0467,                 1.2415,                0.64931,                0.76765,                0.76854,                0.55961,                0.96925,                 1.1109,                 1.1658,                0.00934,                0.00934,                0.00934
                     22,                0.93974,                 1.0223,                 1.2205,                0.68531,                0.71676,                0.77191,                0.56363,                  0.941,                 1.1242,                  1.174,               0.009307,               0.009307,               0.009307
                     23,                0.93002,                 1.0138,                 1.2222,                 0.7163,                0.71455,                 0.7837,                0.56479,                 0.9329,                 1.1497,                 1.1964,               0.009274,               0.009274,               0.009274
                     24,                0.92279,                 1.0014,                 1.2195,                0.71411,                0.69046,                0.77222,                0.55643,                0.92602,                 1.0791,                 1.1645,               0.009241,               0.009241,               0.009241
                     25,                0.92526,                0.98278,                 1.2166,                0.66645,                0.76661,                0.78778,                0.56866,                0.93377,                 1.0636,                 1.1771,               0.009208,               0.009208,               0.009208
                     26,                0.91128,                0.97322,                 1.2102,                0.73013,                0.70302,                0.78077,                0.56643,                0.96578,                 1.0887,                  1.184,               0.009175,               0.009175,               0.009175
                     27,                0.90459,                0.96732,                 1.1977,                0.64614,                0.79572,                0.76021,                0.56259,                0.92578,                0.98853,                 1.1595,               0.009142,               0.009142,               0.009142
                     28,                0.89621,                0.93334,                  1.201,                0.76629,                0.70182,                0.79346,                0.58242,                 0.9265,                 1.0982,                 1.1463,               0.009109,               0.009109,               0.009109
                     29,                0.89595,                0.93099,                 1.1956,                0.69701,                0.76003,                 0.8058,                0.58915,                0.90943,                 1.0046,                 1.1571,               0.009076,               0.009076,               0.009076
                     30,                0.88276,                0.92214,                 1.1937,                0.73633,                0.78135,                0.80416,                0.59254,                0.92597,                 1.0062,                 1.1452,               0.009043,               0.009043,               0.009043
                     31,                0.87842,                0.91187,                 1.1865,                0.71981,                0.79387,                0.80871,                0.59197,                0.88532,                 1.0338,                 1.1349,                0.00901,                0.00901,                0.00901
                     32,                0.88322,                0.91963,                 1.1884,                0.68072,                 0.7776,                0.78638,                0.59361,                0.90407,                0.95192,                 1.1179,               0.008977,               0.008977,               0.008977
                     33,                0.87553,                0.91642,                 1.1847,                0.69278,                0.77877,                0.81215,                0.60861,                 0.8681,                0.96387,                 1.1099,               0.008944,               0.008944,               0.008944
                     34,                0.86371,                0.88601,                  1.173,                0.72165,                 0.7866,                0.81344,                0.60939,                 0.8726,                0.95378,                 1.1195,               0.008911,               0.008911,               0.008911
                     35,                0.85346,                 0.8719,                 1.1736,                0.79059,                0.69667,                0.80615,                0.59762,                0.86177,                 1.0281,                 1.1113,               0.008878,               0.008878,               0.008878
                     36,                 0.8387,                0.86698,                 1.1616,                0.69149,                 0.7982,                0.80805,                0.60483,                0.87215,                0.91304,                   1.12,               0.008845,               0.008845,               0.008845
                     37,                0.85224,                0.87051,                  1.167,                0.73824,                0.72586,                0.79193,                0.59445,                0.83386,                0.93956,                 1.0938,               0.008812,               0.008812,               0.008812
                     38,                0.83577,                0.84575,                 1.1636,                0.78712,                0.71299,                0.80572,                 0.6006,                0.85304,                 0.9852,                 1.1084,               0.008779,               0.008779,               0.008779
                     39,                0.82498,                0.84129,                 1.1536,                0.71057,                0.80408,                0.81489,                0.61631,                0.83758,                0.92147,                 1.1022,               0.008746,               0.008746,               0.008746
                     40,                0.83196,                0.83136,                 1.1565,                0.68764,                0.76905,                0.79656,                 0.5984,                0.89267,                 1.0031,                 1.1173,               0.008713,               0.008713,               0.008713
                     41,                0.82375,                0.83638,                 1.1536,                0.79273,                0.71732,                0.81526,                 0.6172,                0.83782,                0.95103,                 1.0968,                0.00868,                0.00868,                0.00868
                     42,                0.81351,                0.81815,                 1.1463,                 0.7478,                0.75751,                0.82562,                0.62546,                0.83555,                0.96266,                 1.1003,               0.008647,               0.008647,               0.008647
                     43,                0.81126,                0.79084,                 1.1408,                0.71258,                0.77693,                0.82008,                0.62111,                 0.8799,                 1.0373,                 1.1129,               0.008614,               0.008614,               0.008614
                     44,                0.80357,                0.80666,                 1.1384,                0.73646,                0.78841,                0.81989,                0.61704,                0.84174,                0.89132,                 1.1075,               0.008581,               0.008581,               0.008581
                     45,                0.80282,                0.79869,                 1.1386,                0.74215,                 0.7947,                0.83589,                0.62729,                0.83336,                0.93811,                 1.0994,               0.008548,               0.008548,               0.008548
                     46,                0.79649,                0.77954,                 1.1336,                0.80438,                 0.7298,                0.83064,                0.62977,                 0.8296,                0.93659,                 1.0993,               0.008515,               0.008515,               0.008515
