                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3964,                 2.7708,                 1.6672,                0.49569,                0.53529,                0.54315,                0.37652,                 1.2588,                 1.5237,                   1.59,               0.070117,              0.0033204,              0.0033204
                      1,                 1.2521,                 1.6514,                  1.566,                0.52869,                 0.5702,                0.56225,                0.39015,                 1.4045,                 1.6096,                 1.7333,               0.040095,              0.0066317,              0.0066317
                      2,                 1.3298,                 1.6452,                 1.6139,                0.50434,                0.57738,                0.55062,                0.35955,                 1.4321,                 1.5595,                 1.8059,               0.010051,              0.0099211,              0.0099211
                      3,                 1.4349,                 1.7628,                 1.6967,                0.53318,                0.53411,                0.52866,                0.34054,                 1.5203,                 1.6603,                 1.8751,               0.009901,               0.009901,               0.009901
                      4,                 1.4011,                 1.6816,                 1.6756,                0.61092,                0.57955,                0.60446,                0.39977,                 1.5161,                 1.5063,                 1.7978,               0.009901,               0.009901,               0.009901
                      5,                  1.387,                 1.5896,                 1.6771,                0.59313,                0.59898,                0.60873,                0.40993,                  1.491,                 1.3679,                 1.8157,               0.009868,               0.009868,               0.009868
                      6,                 1.3373,                 1.5131,                 1.6499,                0.55856,                0.57899,                0.58055,                0.39699,                 1.5099,                 1.4969,                 1.8259,               0.009835,               0.009835,               0.009835
                      7,                  1.306,                  1.434,                 1.6305,                0.69306,                0.60669,                0.66653,                0.46254,                 1.4184,                 1.2276,                 1.7483,               0.009802,               0.009802,               0.009802
                      8,                 1.2768,                 1.3526,                 1.6054,                0.63676,                0.63343,                0.66836,                 0.4629,                  1.383,                  1.191,                 1.6719,               0.009769,               0.009769,               0.009769
                      9,                  1.281,                 1.3581,                 1.6034,                0.67472,                0.67132,                0.69329,                 0.4903,                 1.2376,                 1.1076,                 1.6009,               0.009736,               0.009736,               0.009736
                     10,                 1.2528,                 1.2899,                 1.5756,                0.64018,                 0.7283,                0.72224,                0.49996,                 1.2669,                 1.0624,                 1.6338,               0.009703,               0.009703,               0.009703
                     11,                 1.2594,                 1.2851,                 1.6026,                0.67627,                0.67047,                0.70006,                0.49788,                  1.248,                 1.0626,                 1.5904,                0.00967,                0.00967,                0.00967
                     12,                 1.2292,                 1.2255,                 1.5775,                0.72005,                0.72161,                0.72817,                0.52732,                 1.2311,                 1.0232,                 1.5937,               0.009637,               0.009637,               0.009637
                     13,                 1.2053,                 1.1947,                 1.5576,                0.73896,                0.70552,                0.73643,                0.53538,                    1.2,                0.98415,                 1.5817,               0.009604,               0.009604,               0.009604
                     14,                 1.2188,                 1.1989,                 1.5768,                0.76383,                0.70334,                0.75246,                0.53052,                 1.2608,                0.96024,                 1.6067,               0.009571,               0.009571,               0.009571
                     15,                 1.1909,                 1.1335,                 1.5487,                0.70474,                0.72141,                0.74852,                0.53481,                 1.2065,                0.98698,                 1.5816,               0.009538,               0.009538,               0.009538
