                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1391,                 2.0564,                 1.2026,                0.43816,                 0.3796,                0.34592,                0.25434,                0.90181,                 1.0756,                 1.0798,                0.07008,              0.0033244,              0.0033244
                      1,                0.97939,                  1.263,                 1.1055,                0.58808,                0.44039,                0.42356,                0.29156,                0.92801,                  1.004,                 1.0987,               0.040047,              0.0066248,              0.0066248
                      2,                 1.0185,                 1.2498,                 1.1194,                0.49667,                0.46021,                0.48272,                0.33352,                0.98567,                 1.0669,                 1.1128,              0.0099815,              0.0098922,              0.0098922
                      3,                 1.0481,                 1.2071,                 1.1395,                0.41891,                0.52005,                0.47775,                0.31681,                0.98915,                 1.0407,                 1.1213,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0516,                 1.1546,                 1.1431,                0.59779,                0.38829,                0.45694,                0.28387,                 1.0003,                0.99323,                 1.1283,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.028,                  1.075,                 1.1254,                0.39289,                0.57158,                0.48986,                0.31472,                 0.9694,                0.93314,                 1.1244,               0.009802,               0.009802,               0.009802
                      6,                 1.0338,                 1.0725,                  1.138,                0.49545,                0.56671,                0.55675,                0.35853,                0.98222,                 1.0091,                 1.1271,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0293,                 1.0771,                 1.1374,                0.47755,                0.51712,                0.52198,                0.33326,                0.96678,                0.94699,                 1.1221,               0.009703,               0.009703,               0.009703
                      8,                 1.0194,                 1.0426,                 1.1211,                0.57483,                0.56645,                0.58131,                0.36813,                0.97454,                0.89609,                 1.1013,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0021,                 1.0193,                 1.1257,                0.47632,                0.53289,                 0.5086,                0.33297,                0.94374,                 0.8929,                 1.1075,               0.009604,               0.009604,               0.009604
                     10,                0.97854,                 0.9954,                 1.1138,                0.64571,                 0.5763,                0.63115,                0.41808,                0.93481,                0.83652,                 1.1167,              0.0095545,              0.0095545,              0.0095545
                     11,                0.96751,                0.94295,                 1.1037,                0.57386,                0.59023,                0.61193,                0.40173,                0.96907,                0.85391,                 1.1256,               0.009505,               0.009505,               0.009505
                     12,                0.96416,                0.94674,                 1.1065,                0.55904,                0.54706,                0.55764,                0.37364,                0.94624,                0.85631,                 1.1027,              0.0094555,              0.0094555,              0.0094555
                     13,                0.95737,                0.95935,                 1.1038,                0.57817,                0.60615,                0.62143,                0.41409,                 0.9068,                 0.8508,                  1.093,               0.009406,               0.009406,               0.009406
                     14,                0.95347,                0.93741,                 1.0978,                0.55146,                0.66756,                0.63574,                 0.4155,                0.91351,                0.83083,                 1.0862,              0.0093565,              0.0093565,              0.0093565
                     15,                0.95068,                0.92546,                  1.101,                0.56881,                0.63097,                0.63799,                0.39932,                0.94251,                 0.7908,                 1.0892,               0.009307,               0.009307,               0.009307
                     16,                0.93511,                0.91144,                  1.094,                0.53822,                 0.6971,                0.63759,                0.43281,                0.92164,                0.78648,                 1.0959,              0.0092575,              0.0092575,              0.0092575
                     17,                0.93412,                0.89467,                 1.0877,                0.61067,                0.59259,                0.61475,                0.40494,                   0.93,                 0.7831,                 1.0869,               0.009208,               0.009208,               0.009208
                     18,                0.92289,                0.87971,                 1.0805,                0.54528,                0.65898,                0.64833,                 0.4397,                0.90576,                0.76663,                 1.0935,              0.0091585,              0.0091585,              0.0091585
                     19,                0.91742,                0.84766,                 1.0746,                0.66614,                0.62312,                0.66493,                0.44467,                0.88518,                0.76849,                 1.0661,               0.009109,               0.009109,               0.009109
                     20,                0.91477,                0.86854,                 1.0808,                0.69371,                0.64762,                0.66262,                  0.444,                0.91346,                0.75163,                 1.0686,              0.0090595,              0.0090595,              0.0090595
                     21,                0.90613,                0.85212,                  1.081,                0.67018,                 0.6457,                0.68884,                0.46316,                 0.8928,                0.72922,                 1.0777,                0.00901,                0.00901,                0.00901
                     22,                0.90013,                0.82292,                 1.0699,                0.63259,                0.66502,                0.67477,                0.46504,                0.89263,                 0.7171,                  1.077,              0.0089605,              0.0089605,              0.0089605
                     23,                0.89844,                0.82012,                 1.0692,                0.64448,                 0.6552,                0.67102,                0.45345,                0.91399,                0.71776,                 1.0729,               0.008911,               0.008911,               0.008911
                     24,                0.90508,                0.81703,                 1.0702,                0.68707,                0.67801,                 0.6901,                0.48306,                0.88736,                0.72448,                 1.0724,              0.0088615,              0.0088615,              0.0088615
