                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7057,                 3.7599,                 1.7677,                0.23652,                0.46357,                0.30039,                0.20559,                 1.3486,                 2.3112,                 1.4559,               0.070319,              0.0032979,              0.0032979
                      1,                  1.504,                 2.3262,                 1.5948,                 0.3027,                0.55591,                0.41166,                0.27629,                 1.3653,                 2.0428,                 1.4995,               0.040297,              0.0066093,              0.0066093
                      2,                 1.4851,                 2.1639,                 1.5577,                0.31982,                0.40994,                0.28387,                0.18581,                 1.6949,                 3.2458,                 1.8722,               0.010253,              0.0098988,              0.0098988
                      3,                 1.7447,                 2.2758,                 1.7594,                0.29955,                0.50726,                0.28322,                0.16917,                 1.6049,                 2.9329,                 1.7043,               0.009901,               0.009901,               0.009901
                      4,                 1.6665,                 2.1477,                 1.6934,                0.33153,                0.33046,                0.28222,                0.16742,                 1.7306,                 2.6718,                 1.7943,               0.009901,               0.009901,               0.009901
                      5,                 1.6513,                 2.0956,                 1.6777,                0.26459,                 0.5331,                0.32692,                0.19587,                 1.7719,                 2.4742,                 1.8473,               0.009868,               0.009868,               0.009868
                      6,                 1.6959,                  2.092,                  1.722,                0.35926,                0.51705,                0.43657,                0.28082,                 1.5487,                 2.1932,                 1.6685,               0.009835,               0.009835,               0.009835
                      7,                 1.6199,                 2.0055,                 1.6517,                0.31617,                0.54567,                0.41826,                0.24584,                 1.6714,                 2.7848,                 1.8004,               0.009802,               0.009802,               0.009802
                      8,                 1.6462,                 1.9346,                 1.6891,                0.43186,                0.47482,                0.41051,                0.26489,                 1.4825,                  1.906,                 1.6591,               0.009769,               0.009769,               0.009769
                      9,                 1.6811,                 2.0054,                 1.7464,                0.27713,                0.57433,                0.46842,                0.27311,                 1.5426,                 1.8637,                 1.6331,               0.009736,               0.009736,               0.009736
                     10,                 1.6543,                 1.9452,                 1.7472,                 0.3191,                0.51796,                0.46558,                0.29127,                 1.4901,                 1.8861,                 1.6057,               0.009703,               0.009703,               0.009703
                     11,                 1.6268,                 1.8801,                 1.7248,                0.34627,                0.53239,                0.45862,                0.27913,                 1.5365,                 1.8899,                 1.6444,                0.00967,                0.00967,                0.00967
                     12,                 1.6146,                 1.8049,                 1.6695,                0.35899,                0.58909,                0.52355,                 0.3343,                 1.5466,                  1.851,                 1.6597,               0.009637,               0.009637,               0.009637
                     13,                 1.5445,                 1.7483,                 1.6173,                0.30734,                0.55441,                0.44353,                0.28244,                 1.5552,                  1.849,                 1.6777,               0.009604,               0.009604,               0.009604
                     14,                 1.6072,                 1.7649,                 1.7204,                0.50018,                0.47437,                0.51709,                0.34118,                 1.4441,                 1.7795,                 1.5329,               0.009571,               0.009571,               0.009571
                     15,                 1.5017,                 1.6944,                 1.6188,                0.36837,                0.61755,                0.55313,                0.34769,                 1.4607,                 1.7685,                  1.542,               0.009538,               0.009538,               0.009538
                     16,                 1.5335,                 1.6761,                 1.6324,                0.44423,                0.52799,                0.50323,                0.31794,                 1.4706,                 1.5897,                 1.5594,               0.009505,               0.009505,               0.009505
                     17,                 1.5872,                 1.7001,                 1.6937,                0.42772,                0.59244,                 0.5355,                0.35831,                 1.4522,                  1.705,                 1.5881,               0.009472,               0.009472,               0.009472
                     18,                 1.5387,                 1.7185,                 1.6745,                0.35896,                0.60365,                0.53298,                0.36046,                 1.4033,                 1.6902,                 1.5114,               0.009439,               0.009439,               0.009439
                     19,                 1.5183,                 1.6194,                 1.6639,                0.41268,                0.63054,                0.59696,                0.39145,                 1.5174,                 1.6087,                 1.6248,               0.009406,               0.009406,               0.009406
                     20,                 1.4804,                 1.5858,                 1.6552,                0.38989,                 0.6239,                0.59049,                0.36953,                 1.4602,                 1.5518,                 1.5889,               0.009373,               0.009373,               0.009373
                     21,                 1.4386,                 1.5713,                 1.5642,                0.44748,                0.61671,                0.65054,                0.40328,                 1.4527,                 1.4022,                 1.5809,                0.00934,                0.00934,                0.00934
                     22,                 1.4647,                 1.5352,                 1.6326,                0.40921,                0.62662,                0.55792,                0.37198,                 1.4747,                 1.5126,                 1.6274,               0.009307,               0.009307,               0.009307
                     23,                 1.4589,                 1.4427,                 1.6377,                0.47194,                0.63434,                0.58523,                  0.387,                 1.4282,                 1.4204,                 1.5606,               0.009274,               0.009274,               0.009274
                     24,                 1.4395,                  1.476,                  1.597,                0.49346,                0.60876,                0.60571,                0.39189,                 1.4188,                 1.5867,                 1.5508,               0.009241,               0.009241,               0.009241
                     25,                 1.4656,                 1.5357,                 1.6847,                0.48044,                0.64182,                0.61768,                0.39834,                 1.4254,                 1.3933,                 1.5463,               0.009208,               0.009208,               0.009208
                     26,                 1.4077,                 1.4514,                 1.6018,                0.40811,                0.68636,                 0.6386,                0.43224,                 1.4387,                 1.4809,                 1.5774,               0.009175,               0.009175,               0.009175
                     27,                 1.4575,                 1.4322,                  1.653,                0.42233,                0.61853,                0.58029,                 0.3654,                 1.3516,                 1.4959,                 1.4854,               0.009142,               0.009142,               0.009142
                     28,                 1.4047,                 1.4021,                 1.6068,                0.55321,                0.58361,                0.61551,                0.41314,                 1.4188,                 1.4287,                 1.5655,               0.009109,               0.009109,               0.009109
                     29,                 1.3937,                 1.3419,                 1.5773,                0.48479,                0.65241,                0.61472,                0.41802,                 1.3418,                 1.4216,                 1.4841,               0.009076,               0.009076,               0.009076
                     30,                 1.3971,                 1.3722,                 1.5986,                0.49927,                0.63116,                0.61852,                0.40568,                 1.4201,                 1.5111,                 1.5727,               0.009043,               0.009043,               0.009043
