                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7336,                  3.705,                 1.8274,                0.25621,                0.46079,                0.27547,                0.19468,                 1.3739,                 2.2544,                 1.5461,                0.07008,              0.0033244,              0.0033244
                      1,                 1.6548,                 2.4906,                 1.7883,                0.36332,                0.45932,                0.41125,                0.28086,                 1.5135,                  2.262,                 1.7786,               0.040047,              0.0066248,              0.0066248
                      2,                 1.6421,                 2.3604,                 1.7243,                0.41235,                0.45696,                 0.3048,                0.19421,                 1.4549,                 2.4897,                 1.6231,              0.0099815,              0.0098922,              0.0098922
                      3,                  1.805,                 2.5014,                  1.824,                0.27826,                0.54271,                0.37167,                0.23265,                 1.6941,                 2.0995,                 1.7861,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.8227,                  2.524,                 1.8426,                 0.2649,                0.44339,                0.35812,                0.20078,                 1.7597,                 2.7805,                 1.8413,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8639,                 2.4604,                 1.9428,                0.44625,                0.41641,                0.37003,                0.21579,                 1.7549,                 2.2071,                  1.946,               0.009802,               0.009802,               0.009802
                      6,                 1.8372,                 2.4407,                 1.9185,                0.38477,                0.48113,                0.40097,                0.24908,                 1.7699,                 3.8283,                 1.9993,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.8409,                 2.3762,                 1.9148,                0.24809,                0.55721,                 0.4117,                0.23399,                 1.9656,                  2.466,                 2.1194,               0.009703,               0.009703,               0.009703
                      8,                 1.8349,                 2.2743,                 1.8879,                0.41567,                0.51195,                 0.4186,                0.25886,                 1.6312,                 2.2242,                 1.8255,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7525,                 2.2141,                 1.8554,                0.33032,                0.52543,                0.36567,                0.20485,                 1.8431,                 2.4521,                 2.0095,               0.009604,               0.009604,               0.009604
                     10,                 1.7465,                 2.2251,                 1.8658,                0.28848,                0.47713,                0.35188,                0.21659,                  1.721,                 2.9295,                 1.9744,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6973,                 2.0473,                 1.7947,                0.43109,                0.52931,                0.48602,                0.31124,                 1.5832,                 2.0547,                 1.8314,               0.009505,               0.009505,               0.009505
                     12,                 1.7748,                 2.1305,                 1.8952,                0.44533,                0.50828,                 0.4829,                0.29567,                 1.7766,                 2.0151,                  1.896,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7275,                 2.1127,                 1.8627,                0.33901,                0.55057,                0.41625,                0.26797,                 1.6358,                 2.0719,                 1.8048,               0.009406,               0.009406,               0.009406
                     14,                 1.6543,                 1.9933,                 1.7484,                0.52547,                 0.4915,                0.45013,                0.25446,                 1.7211,                 1.8008,                 1.8438,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7181,                 2.0186,                 1.8402,                0.38117,                0.51953,                0.48799,                 0.3023,                 1.6733,                 2.1271,                 1.8565,               0.009307,               0.009307,               0.009307
                     16,                 1.6981,                 2.0409,                  1.846,                0.42342,                0.53869,                 0.5064,                0.33245,                 1.5628,                 1.8554,                 1.7966,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6392,                 1.9597,                 1.7797,                0.51531,                0.51929,                0.52982,                0.33466,                 1.6155,                 1.9077,                 1.8307,               0.009208,               0.009208,               0.009208
                     18,                 1.5917,                 1.8859,                 1.7813,                0.37488,                0.59947,                  0.549,                0.36794,                 1.5669,                 1.9112,                 1.7892,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5716,                 1.7732,                 1.7259,                0.37731,                0.60626,                0.53682,                0.32732,                 1.6427,                 1.7989,                 1.8939,               0.009109,               0.009109,               0.009109
                     20,                  1.604,                 1.8362,                 1.7738,                0.39469,                0.61776,                0.55162,                0.36989,                 1.5111,                 1.6386,                 1.7469,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5878,                  1.756,                 1.7601,                0.38779,                0.62827,                0.56995,                0.38805,                 1.5421,                 1.8413,                 1.7717,                0.00901,                0.00901,                0.00901
                     22,                 1.5933,                 1.7706,                 1.7667,                0.36075,                0.61378,                0.53857,                0.36726,                 1.5152,                  1.734,                 1.7149,              0.0089605,              0.0089605,              0.0089605
                     23,                  1.545,                 1.7254,                 1.7326,                0.43384,                0.57553,                0.57833,                0.37456,                 1.5082,                 1.7112,                 1.7278,               0.008911,               0.008911,               0.008911
                     24,                 1.5895,                 1.7013,                 1.7644,                0.44596,                0.60994,                0.58318,                0.38784,                 1.4751,                 1.7548,                 1.6985,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5762,                 1.6737,                 1.7815,                0.43782,                0.60807,                0.56944,                 0.3655,                 1.5682,                 1.6932,                 1.8111,               0.008812,               0.008812,               0.008812
                     26,                 1.5565,                 1.7498,                 1.7671,                0.49814,                0.60858,                0.59983,                0.39785,                 1.5388,                 1.6239,                 1.7623,              0.0087625,              0.0087625,              0.0087625
