                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2043,                 2.3027,                 1.2347,                0.36935,                0.34668,                0.28242,                 0.2058,                0.92196,                 1.1151,                 1.0756,               0.070319,              0.0032979,              0.0032979
                      1,                0.95273,                 1.2174,                 1.0744,                0.37432,                0.53727,                0.43237,                0.29057,                0.92305,                0.97203,                 1.0666,               0.040297,              0.0066093,              0.0066093
                      2,                0.97927,                 1.1422,                 1.0823,                0.50461,                0.43158,                0.45263,                0.31534,                0.96504,                 1.0498,                 1.1114,               0.010253,              0.0098988,              0.0098988
                      3,                0.99343,                 1.0979,                 1.0861,                0.44171,                0.55408,                0.47479,                0.32169,                0.97126,                 1.0108,                 1.1065,               0.009901,               0.009901,               0.009901
                      4,                 1.0007,                 1.0333,                 1.0956,                0.51967,                0.47282,                0.45183,                0.29522,                 1.0041,                0.96662,                 1.1225,               0.009901,               0.009901,               0.009901
                      5,                0.99001,                0.98677,                 1.0851,                0.60711,                0.49416,                0.53325,                0.34251,                0.96175,                0.87023,                 1.1112,               0.009868,               0.009868,               0.009868
                      6,                0.98559,                0.96762,                 1.0952,                0.54843,                0.51909,                0.53851,                0.35269,                0.96889,                0.83785,                 1.1115,               0.009835,               0.009835,               0.009835
                      7,                0.97373,                0.93992,                 1.0879,                0.56297,                0.50424,                0.50388,                0.33006,                0.94926,                0.83592,                 1.0979,               0.009802,               0.009802,               0.009802
                      8,                 0.9682,                0.94684,                 1.0879,                0.49864,                0.59291,                0.52977,                0.33458,                0.97924,                0.84178,                 1.1089,               0.009769,               0.009769,               0.009769
                      9,                0.95153,                0.92075,                 1.0776,                0.64165,                0.57383,                0.59446,                0.39171,                 0.9374,                 0.8297,                 1.0754,               0.009736,               0.009736,               0.009736
                     10,                0.95581,                0.90759,                  1.082,                 0.5907,                0.59428,                0.61781,                0.41273,                0.95333,                0.79748,                  1.096,               0.009703,               0.009703,               0.009703
                     11,                0.93716,                0.88639,                 1.0743,                0.72709,                0.56035,                0.59963,                0.38838,                0.93707,                0.81647,                 1.0945,                0.00967,                0.00967,                0.00967
                     12,                0.93573,                0.86091,                 1.0642,                0.66981,                0.60716,                0.65143,                0.44393,                0.93473,                0.79357,                 1.0828,               0.009637,               0.009637,               0.009637
                     13,                0.91059,                0.84659,                 1.0569,                0.55518,                0.64498,                0.62124,                0.41871,                0.91008,                0.78817,                 1.0773,               0.009604,               0.009604,               0.009604
                     14,                0.92647,                0.84302,                  1.068,                0.53463,                0.64335,                0.63408,                0.42724,                0.91199,                0.77904,                 1.0753,               0.009571,               0.009571,               0.009571
                     15,                0.89778,                0.81235,                 1.0518,                0.70517,                0.58944,                0.65678,                0.46014,                0.88132,                 0.7267,                 1.0556,               0.009538,               0.009538,               0.009538
                     16,                0.89125,                0.80698,                 1.0451,                0.52051,                0.65156,                0.59526,                0.40022,                0.91821,                0.76063,                 1.0676,               0.009505,               0.009505,               0.009505
                     17,                0.89872,                0.79989,                 1.0533,                0.62692,                0.65315,                0.67254,                0.48391,                0.89608,                0.73336,                 1.0609,               0.009472,               0.009472,               0.009472
                     18,                0.89406,                0.80816,                 1.0532,                0.58728,                0.60805,                0.56223,                0.36679,                  0.907,                0.79315,                 1.0899,               0.009439,               0.009439,               0.009439
                     19,                0.88271,                0.77771,                 1.0365,                0.62351,                 0.6699,                0.64791,                 0.4619,                0.90003,                0.73711,                 1.0639,               0.009406,               0.009406,               0.009406
                     20,                0.86966,                0.77381,                 1.0426,                0.59512,                0.66992,                0.65831,                0.44667,                0.91842,                0.72257,                 1.0723,               0.009373,               0.009373,               0.009373
                     21,                 0.8846,                0.79765,                 1.0478,                 0.6241,                 0.6622,                0.68944,                0.46607,                0.88705,                0.70751,                 1.0524,                0.00934,                0.00934,                0.00934
                     22,                 0.8681,                0.75712,                 1.0366,                0.67202,                0.62331,                0.64573,                0.44857,                0.90227,                0.70966,                 1.0628,               0.009307,               0.009307,               0.009307
                     23,                0.85931,                0.74398,                 1.0326,                0.68328,                0.69213,                0.69379,                0.50194,                0.87923,                0.70006,                 1.0515,               0.009274,               0.009274,               0.009274
                     24,                0.87081,                 0.7468,                 1.0395,                0.65996,                0.60585,                 0.6583,                0.48011,                0.88713,                  0.676,                 1.0472,               0.009241,               0.009241,               0.009241
                     25,                0.86166,                0.72819,                 1.0333,                0.59725,                0.64471,                0.63784,                0.43332,                0.88296,                0.70362,                 1.0595,               0.009208,               0.009208,               0.009208
                     26,                 0.8369,                0.73454,                  1.022,                0.69462,                0.64614,                 0.6879,                0.48642,                0.87394,                0.72417,                 1.0501,               0.009175,               0.009175,               0.009175
                     27,                0.85827,                  0.742,                 1.0353,                 0.6405,                  0.694,                0.70192,                0.47237,                0.86147,                0.67337,                 1.0534,               0.009142,               0.009142,               0.009142
                     28,                0.82755,                0.70146,                 1.0231,                0.70279,                 0.6533,                0.67364,                0.45915,                0.86993,                 0.6914,                 1.0575,               0.009109,               0.009109,               0.009109
                     29,                0.83124,                  0.703,                 1.0101,                0.58918,                0.68419,                0.67488,                0.48466,                0.88016,                 0.6786,                 1.0584,               0.009076,               0.009076,               0.009076
                     30,                0.82814,                0.70541,                   1.01,                0.66709,                0.68232,                0.69843,                 0.5041,                0.88219,                0.69159,                 1.0522,               0.009043,               0.009043,               0.009043
                     31,                0.83411,                0.74397,                 1.0289,                0.62148,                0.68414,                0.69399,                0.49587,                0.87185,                0.68259,                 1.0522,                0.00901,                0.00901,                0.00901
                     32,                  0.827,                0.69392,                 1.0161,                0.67035,                0.65421,                0.70084,                0.48557,                0.85861,                0.69191,                 1.0476,               0.008977,               0.008977,               0.008977
                     33,                0.83011,                 0.6894,                 1.0219,                0.71405,                0.65819,                0.70972,                0.50701,                0.87025,                0.67215,                 1.0454,               0.008944,               0.008944,               0.008944
                     34,                0.82279,                0.69233,                 1.0164,                 0.6524,                0.68882,                0.70931,                0.51158,                0.86206,                0.67109,                  1.036,               0.008911,               0.008911,               0.008911
                     35,                0.81829,                0.67751,                 1.0085,                0.70377,                0.66316,                0.68254,                0.48702,                0.87097,                0.67563,                 1.0489,               0.008878,               0.008878,               0.008878
                     36,                0.80317,                0.65882,                  1.011,                0.66312,                0.67374,                0.69129,                  0.482,                0.85101,                0.69115,                 1.0456,               0.008845,               0.008845,               0.008845
                     37,                0.80368,                0.65801,                 1.0088,                0.67804,                0.64746,                0.69594,                0.46687,                0.87502,                0.65622,                 1.0538,               0.008812,               0.008812,               0.008812
                     38,                0.79862,                0.64612,                 1.0015,                0.67148,                0.69613,                0.70867,                0.50012,                0.84968,                0.64297,                 1.0415,               0.008779,               0.008779,               0.008779
                     39,                0.79929,                0.64773,                 1.0027,                0.67209,                0.67797,                0.67156,                0.46628,                0.85675,                0.65296,                 1.0414,               0.008746,               0.008746,               0.008746
                     40,                0.80611,                0.64406,                 1.0031,                0.68582,                0.73076,                0.72952,                0.48877,                0.85852,                 0.6647,                   1.04,               0.008713,               0.008713,               0.008713
                     41,                0.79598,                0.65084,                0.99691,                0.70024,                0.73405,                0.73699,                0.51307,                0.85257,                0.63751,                  1.036,                0.00868,                0.00868,                0.00868
                     42,                0.78961,                 0.6219,                0.99593,                0.67768,                0.73074,                 0.7398,                0.52062,                0.85598,                0.65507,                 1.0422,               0.008647,               0.008647,               0.008647
                     43,                0.78554,                0.63584,                0.99095,                 0.6622,                0.72998,                0.71257,                0.52884,                0.84744,                 0.6765,                 1.0338,               0.008614,               0.008614,               0.008614
                     44,                 0.7782,                0.63561,                0.99716,                0.68164,                0.72359,                0.74874,                0.54236,                0.84335,                0.63603,                 1.0403,               0.008581,               0.008581,               0.008581
                     45,                0.78736,                0.61684,                0.98663,                0.74127,                0.71079,                0.74861,                0.53235,                0.85024,                0.63992,                 1.0357,               0.008548,               0.008548,               0.008548
                     46,                0.79057,                0.62054,                0.99482,                0.69515,                0.68726,                0.71155,                0.51343,                0.85826,                0.65558,                 1.0388,               0.008515,               0.008515,               0.008515
                     47,                0.78572,                0.62958,                0.99397,                0.68241,                0.71697,                0.73633,                0.52231,                0.84885,                0.63233,                 1.0348,               0.008482,               0.008482,               0.008482
                     48,                0.77897,                0.61117,                0.98952,                0.70159,                0.73806,                0.75588,                0.55703,                0.84775,                0.63655,                 1.0379,               0.008449,               0.008449,               0.008449
                     49,                0.81148,                 0.6283,                 1.0255,                0.74814,                0.67868,                0.72142,                0.51456,                0.83557,                0.65956,                 1.0341,               0.008416,               0.008416,               0.008416
                     50,                 0.7642,                0.58781,                0.98465,                0.71632,                0.75451,                0.76093,                0.52481,                0.85698,                0.61534,                 1.0358,               0.008383,               0.008383,               0.008383
                     51,                0.77278,                0.59627,                0.98799,                0.72671,                0.63996,                0.71709,                0.51134,                0.84842,                0.66364,                 1.0362,                0.00835,                0.00835,                0.00835
                     52,                0.77402,                0.60244,                0.98659,                0.72097,                0.69947,                0.72244,                0.50713,                0.85215,                0.67821,                 1.0363,               0.008317,               0.008317,               0.008317
                     53,                0.76142,                0.60914,                 0.9844,                0.71922,                0.73438,                0.75554,                0.53905,                0.83788,                0.63037,                  1.035,               0.008284,               0.008284,               0.008284
                     54,                0.76327,                 0.5894,                0.98783,                0.71221,                0.75015,                0.75171,                0.52902,                0.86327,                0.61994,                 1.0495,               0.008251,               0.008251,               0.008251
                     55,                0.75142,                0.57583,                0.97841,                0.73831,                0.71248,                0.75438,                0.54993,                0.84256,                0.64855,                 1.0304,               0.008218,               0.008218,               0.008218
                     56,                0.76322,                 0.5812,                0.98252,                    0.6,                0.75916,                 0.7185,                0.48158,                0.84716,                0.63828,                 1.0318,               0.008185,               0.008185,               0.008185
                     57,                0.75288,                0.56522,                0.97967,                0.72669,                0.70206,                0.74355,                0.53846,                0.85111,                0.63449,                 1.0415,               0.008152,               0.008152,               0.008152
                     58,                0.75369,                0.57503,                0.97791,                0.75846,                0.67452,                0.74156,                0.53885,                0.84841,                0.65282,                 1.0447,               0.008119,               0.008119,               0.008119
                     59,                0.74513,                0.57451,                0.97676,                0.69931,                0.68197,                 0.7297,                0.51226,                0.86221,                0.63488,                 1.0546,               0.008086,               0.008086,               0.008086
                     60,                0.74608,                0.56093,                0.98007,                 0.7028,                0.76879,                0.77773,                0.53288,                0.85306,                0.60842,                 1.0413,               0.008053,               0.008053,               0.008053
                     61,                0.75152,                0.58519,                 0.9844,                0.69006,                0.72435,                0.75306,                0.52436,                 0.8627,                 0.6437,                 1.0446,                0.00802,                0.00802,                0.00802
                     62,                0.76174,                0.57376,                0.98775,                0.72781,                0.73475,                0.77556,                0.54544,                0.85694,                0.63179,                 1.0414,               0.007987,               0.007987,               0.007987
                     63,                0.73397,                0.54531,                0.96975,                0.70277,                0.74978,                0.77354,                0.54889,                0.84439,                0.61812,                 1.0318,               0.007954,               0.007954,               0.007954
                     64,                0.74204,                0.55188,                0.97477,                0.70692,                0.71431,                 0.7467,                0.55264,                 0.8392,                0.63875,                 1.0326,               0.007921,               0.007921,               0.007921
                     65,                0.75431,                 0.5717,                0.98092,                0.75477,                0.71555,                0.77531,                0.55096,                0.86358,                 0.6113,                 1.0444,               0.007888,               0.007888,               0.007888
                     66,                0.73459,                 0.5442,                0.96713,                0.67847,                0.74613,                0.75126,                0.54525,                0.84351,                0.62095,                 1.0309,               0.007855,               0.007855,               0.007855
                     67,                0.72817,                0.53255,                0.96713,                0.76396,                0.70484,                0.76889,                0.54272,                0.85366,                0.61726,                 1.0412,               0.007822,               0.007822,               0.007822
                     68,                0.72704,                0.56223,                0.96416,                0.71552,                0.68476,                0.73312,                 0.5155,                0.87252,                0.63583,                 1.0446,               0.007789,               0.007789,               0.007789
